,state,value
0,Abia,26.138471808790054
1,Adamawa,27.186639901862385
2,Akwa Ibom,26.08866526760919
3,Anambra,27.072199610688372
4,Bauchi,25.951617860977382
5,Bayelsa,26.42892857142857
6,Benue,27.704485177306875
7,Borno,28.073441559948034
8,Cross River,26.451479094783846
9,Delta,26.31625249128052
10,Ebonyi,27.4461954338511
11,Edo,26.176499869434654
12,Ekiti,25.120041691208954
13,Enugu,26.669245634523413
14,Federal Capital Territory,27.531645049193457
15,Gombe,27.023504969363632
16,Imo,26.134447857262664
17,Jigawa,27.25731323132313
18,Kaduna,25.49144523809524
19,Kano,26.02059477716451
20,Katsina,26.294967147687267
21,Kebbi,28.91600968029842
22,Kogi,27.24244523621008
23,Kwara,27.171772655406933
24,Lagos,26.748233852364475
25,Nasarawa,27.782905544147845
26,Niger,28.161714085001755
27,Ogun,26.66105230663476
28,Ondo,25.847913500506586
29,Osun,25.858179947762665
30,Oyo,26.572400401766547
31,Plateau,25.63232437424368
32,Rivers,26.30508691741277
33,Sokoto,28.99540288720713
34,Taraba,26.896542810868652
35,Yobe,27.835771437619925
36,Zamfara,27.609089207735497
