,state,value
0,Abia,4.17455111585683
1,Adamawa,4.721773119986342
2,Akwa Ibom,3.769857729935726
3,Anambra,3.8864274912448264
4,Bauchi,4.9505430632820655
5,Bayelsa,3.7054821526280217
6,Benue,4.832989413949249
7,Borno,5.8435419454678055
8,Cross River,3.788993507682728
9,Delta,4.051140439162381
10,Ebonyi,4.420290745723041
11,Edo,4.158001539190613
12,Ekiti,4.696486005299768
13,Enugu,4.003761414724996
14,Federal Capital Territory,3.5915937519295285
15,Gombe,5.772752744316972
16,Imo,3.8555946895942763
17,Jigawa,5.548216536568453
18,Kaduna,5.552038204439355
19,Kano,5.474083184423403
20,Katsina,6.435328539774403
21,Kebbi,5.337515475907607
22,Kogi,3.929589690955576
23,Kwara,4.651655802849021
24,Lagos,4.226644527001589
25,Nasarawa,3.7315586764216637
26,Niger,4.374350763051192
27,Ogun,4.184295272998697
28,Ondo,3.9211628834899805
29,Osun,3.955072131162081
30,Oyo,4.576373516284597
31,Plateau,5.753482978790475
32,Rivers,3.7086348133145606
33,Sokoto,6.304569484181649
34,Taraba,4.125778037141664
35,Yobe,6.217793455126527
36,Zamfara,6.291315972768329
